user_id,query,region,domain,description,engine,emails,phones,dateOfSearch
3,производство кабелей,159,https://om-ek.ru,"В процессе производства кабелей и проводов с пластмассовой и резиновой изоляцией широкое распространение получили экструдеры (червячные прессы), которые позволяют осуществлять непрерывный процесс наложения изоляции оболочки и выпускать кабельную продукцию практически неограниченной длины. Процесс такого непрерывного производства изоляции или оболочки называют экструзией или выдавливанием, а сами прессы...",yandex,"['buh@om-ek.ru', 'chernyshev@om-ek.ru', 'drobov@om-ek.ru', 'ek@om-ek.ru', 'ia@om-ek.ru', 'info@om-ek.ru', 'kao@om-ek.ru', 'kapustin@om-ek.ru', 'msk@om-ek.ru', 'rrr@om-ek.ru', 'saa@om-ek.ru', 'semenz@om-ek.ru', 'sklad@om-ek.ru', 'snab@om-ek.ru', 'torg@om-ek.ru', 'votincev@om-ek.ru']","['+73432887959', '+79220202532', '+79501851147']",02-10-2025 15:42:28
3,производство кабелей,159,https://kaz-tel.kz,"Ведущий производитель кабельно-проводниковой продукции в Казахстане - ТОО «K.AZ TEL». ТОО «K.AZ TEL» было основано в 2010 году. Основной деятельностью предприятия является производство кабельно-проводниковой продукции. Всего за несколько лет существования ТОО «K.AZ TEL» зарекомендовало себя, как надежный отечественный производитель.",yandex,"['berkin_aydarali@mail.ru', 'kaz.tel@mail.ru']","['+77052889713', '+77253145405', '+77253145702', '+77751093888', '+77753286395', '+79999999999']",02-10-2025 15:42:28
3,производство кабелей,159,https://xn----8sbdqwjbq1a0j.xn--p1ai,"Основные этапы производства кабелей. Кабель, или еще как называют, силовой кабель состоит из нескольких отдельных элементов. Токопроводящим является медный, или алюминиевый провод, далее идет изоляция провода. Затем общая изоляция, оболочка. В зависимости от назначения кабеля, его вида, типа, номинальной мощности в одном кабеле может быть от двух и более проводов, или жил.",yandex,"['info@мос-кабель.рф', 'zakaz@mscable.ru']","['+73022383417', '+73412209843', '+73422252397', '+73433025813', '+73452519176', '+73472259831', '+73496413493', '+73512258957', '+73522509176', '+73532793662', '+73812994251', '+73822975045', '+73833120613', '+73842233980', '+73852595715', '+73919890352', '+73952199259', '+74012988753', '+74112505865', '+74162229674', '+74212902468', '+74232062814', '+74712442543', '+74722429189', '+74732628764', '+74742547984', '+74752503984', '+74812515869', '+74822223913', '+74832446492', '+74842908136', '+74852606591', '+74862221359', '+74872516310', '+74912575871', '+74932245781', '+74993400239', '+78003025006', '+78126285617', '+78152632460', '+78312354529', '+78332204729', '+78342229875', '+78352329208', '+78412509513', '+78422315765', '+78432073278', '+78442685960', '+78462152453', '+78512992982', '+78612048698', '+78622794148', '+78633093824', '+78652595365', '+78672289689']",02-10-2025 15:42:28
3,производство кабелей,159,https://telmark.ru,Виды кабелей. Кабельная продукция сегодня востребована на производстве и имеет широкий ассортимент.,yandex,"['sale16@telmark.ru', 'sale@telmark.ru']",['+78006004091'],02-10-2025 15:42:28
3,производство кабелей,159,https://cable-machine.ru,"Современные линии по производству кабеля (например, линии производства кабеля ввг или линии для производства кабеля ввгнг) представляют собой практически полностью автоматизированные комплексы.",yandex,['cable-machine@eg-mail.ru'],['+78003011938'],02-10-2025 15:42:28
3,производство кабелей,159,https://u-techgroup.ru,"Промышленная кабельная линия. Линия для производства кабеля состоит из нескольких узлов. Станки могут работать по отдельности либо соединяться в единую систему, управляемую одним оператором. Техника обязана отвечать требованиям международных стандартов, что гарантирует надежность и долговечность всех работающих элементов. Основные станки на производственной линии: Экструзионная линия.",yandex,['info@u-techgroup.ru'],['+74996868868'],02-10-2025 15:42:28
3,производство кабелей,159,https://ud-machine.com,7.8 В: Каково значение кабельной разводки в процессе производства проводов и кабелей? 7.9 В: Почему выбор правильного партнера по производству кабелей так важен в кабельной промышленности? Какое сырье используется при производстве кабелей?,yandex,"['support@gmail.com', 'susanne@ud-machine.com']",['+8618359258311'],02-10-2025 15:42:28
3,производство кабелей,159,https://datacable.ru,"Первым шагом в производстве кабелей для локальных сетей является волочение проволоки. Волочение — это процесс, при котором проволока протягивается через матрицу, чтобы уменьшить ее диаметр и увеличить длину.",yandex,['info@datacable.ru'],['+74957992486'],02-10-2025 15:42:28
3,производство кабелей,159,https://xn--80ajamiccthtvc4b5g.xn--p1ai,"Процесс изготовления проводов и кабелей технологически реализуется в несколько шагов, главные из которых: вытяжение заготовки, наложение изоляции, и финальный этап — намотка готового изделия в бухты.",yandex,['info@electrotechnique.ru'],"['+78005508565', '+79105550201']",02-10-2025 15:42:28
3,производство кабелей,159,https://akf.kz,"Атырауский Кабельный Завод (АКЗ) — современный завод по производству волоконно-оптической кабельной продукции, производственные мощности которого составляют 20 000 километров кабеля в год. Главная цель строительства собственного завода заключалась в создании высококачественной продукции для внутреннего рынка, которая сможет заменить зарубежные аналоги.",yandex,"['buh@akf.kz', 'hr@akf.kz', 'info@akf.kz', 'sales@akf.kz', 'snab@akf.kz']","['+74958888888', '+77008360668', '+77064082668', '+77273470098']",02-10-2025 15:42:28
3,производство кабелей,159,https://kazkabel.kz,Провода и кабели связи. ВП.,yandex,['kazkabel@kazkabel.kz'],['+77182660410'],02-10-2025 15:42:28
3,производство кабелей,159,https://sviaz-expo.ru,"Производство кабельной продукции является высокотехнологическим процессом. Выпускаемая продукция должна быть качественной, безопасной, иметь современный дизайн. Кабель состоит из одного или нескольких жил-проводников, изолированных друг от друга, и оболочки.",yandex,"['fe@expocentr.ru', 'kirpach@expocentr.ru', 'kiselevau@expocentr.ru', 'ovchinnikovoi@expocentr.ru', 'sharlay@expocentr.ru', 'sviaz@expocentr.ru', 'yg@expocentr.ru']","['+74994280329', '+74994280331', '+74994280334', '+74994280335', '+74994280343', '+74994280344', '+74997952607', '+74997952704', '+74997952749', '+74997953837', '+74997953947', '+74997954163', '+77718033809', '+78007073799']",02-10-2025 15:42:28
3,производство кабелей,159,https://cable.ru,"Для резиновых кабелей используют полупроводящую резину толщиной 0,4 мм. В кабелях с бумажной изоляцией в качестве электропроводящего слоя используют полупроводящую бумагу. А в кабелях из ПВХ или полиэтилена — полупроводящая пластмасса или полупроводящий полиэтилен (в зависимости от материала изоляции). Что касается нюансов производства бронированных кабелей...",yandex,"['press@cable.ru', 'zakaz+k00387@cable.ru', 'zakaz@cable.ru']","['+74991134305', '+78003331148', '+79710008385']",02-10-2025 15:42:28
