user_id,query,region,domain,description,engine,emails,phones,dateOfSearch
3,этикетка от производителя,225,https://fabrikaetiketok.ru,,yandex,['info@fabrikaetiketok.ru'],"['+74952234056', '+78126789634']",01-10-2025 20:28:19
3,этикетка от производителя,225,https://xn----8sbnbomblssufd3m.xn--p1ai,Этикетки любых типов по ценам от производителя.,yandex,['zakaz@термо-этикетка.рф'],['+74955325812'],01-10-2025 20:28:19
3,этикетка от производителя,225,https://pe-print.ru,"Этикетки-самоклейки оптом от производителя. Основой для этикеток-пустышек может быть бумага или синтетические материалы. Этикетка легко крепится к поверхности, что позволяет запустить продукцию в реализацию в течение 10-15 минут (временной интервал, требуемый для надежного сцепления этикетки с поверхностью).",yandex,['info@pe-print.ru'],['+74953748018'],01-10-2025 20:28:19
3,этикетка от производителя,225,https://bosla.ru,"Высота этикетки для принтера этикеток может быть любой. Но ширина и диаметр втулки стандартные, предусмотренные производителем печатающей техники. Если вам нужно купить термопринтер и этикетки впервые, то сначала выбираем необходимый размер этикетки под штрих код, и потом выбираем модель принтера этикеток под заданные параметры.",yandex,['info@bosla.ru'],"['+74732112979', '+74951092979', '+78122092979', '+79999999999']",01-10-2025 20:28:19
3,этикетка от производителя,225,https://diglabel.ru,"Цифровая Этикетка - реально этикеточные решения для любого бизнеса. Полный цикл, от концепции до доставки по РФ. Заказываем этикетки по 3 направлениям для разной косметики, тиражи были от 3 до 14 тысяч, с этой типографией мы не боимся тираж увеличиывть.",yandex,['sale@diglabel.ru'],['+74957727958'],01-10-2025 20:28:19
3,этикетка от производителя,225,https://xn-----7kcbazrcbbubg1b6dd6p.xn--p1ai,"Наши этикетки легко клеятся на любую поверхность пластиковых или стеклянных бутылок. Могут иметь любую изогнутую или прямоугольную форму до 35 сантиметров шириной, что позволяет не только идентифицировать сами единицы товара, но и оформить единую структуру бренда для узнаваемости самого производителя с целью повторной покупки.",yandex,"['glotov@aypi.ru', 'ipktsaritsin@mail.ru']","['+78442332289', '+78442609664', '+79044350122', '+79061725390']",01-10-2025 20:28:19
3,этикетка от производителя,225,https://birki-etiketki.ru,"Этикетки с логотипом — это опознавательный знак выпускаемой продукции, сочетающий в себе информацию о производителе и самом изделии, это очень важная деталь, которая должна помочь проявить интерес покупателя к продукту.",yandex,['zakaz@birki-etiketki.ru'],"['+79258008284', '+79268291868']",01-10-2025 20:28:19
3,этикетка от производителя,225,https://ribbons.ru,Купить этикетку в рулонах от производителя.,yandex,"['marketing@colortek.ru', 'zapros@ribbons.ru']","['+78005559703', '+78124412849', '+79999999999']",01-10-2025 20:28:19
3,этикетка от производителя,225,https://label4u.ru,"Производство этикеток в Москве. Этикетка — основной рекламный носитель, от которого зависит окончательный выбор покупателя. На ней отображена вся необходимая информация, которая является элементом, который позволяет покупателю идентифицировать товар.",yandex,['zakaz@label4u.ru'],"['+74951201049', '+79693470706']",01-10-2025 20:28:19
3,этикетка от производителя,225,https://rekflex.ru,"При производстве этикеток используется устойчивый к внешним воздействиям клей, который быстро высыхает и прочно контактирует с поверхностью.",yandex,"['plusreklama@mail.ru', 'zakaz-etiketka@mail.ru']","['+79175566636', '+79263535191']",01-10-2025 20:28:19
