user_id,query,region,domain,description,engine,emails,phones,dateOfSearch
3,производитель упаковки для камамбер,225,https://yarus-market.ru,"Материал: Натуральный шпон Свойства: Круглая деревянная коробка из шпона подходит для упаковки и хранения сыра Камамбер, Бри и других подобных мягких сыров с плесенью.",yandex,"['astrahan@yarus-market.ru', 'barn@yarus-market.ru', 'bel@yarus-market.ru', 'chel@yarus-market.ru', 'ekb@yarus-market.ru', 'irk@yarus-market.ru', 'kazan@yarus-market.ru', 'kem@yarus-market.ru', 'khb@yarus-market.ru', 'korolev@yarus-market.ru', 'krasnodar@yarus-market.ru', 'krasnoy@yarus-market.ru', 'kursk@yarus-market.ru', 'lipeck@yarus-market.ru', 'lyubertsy@yarus-market.ru', 'msk@yarus-market.ru', 'mytishchi@yarus-market.ru', 'nn@yarus-market.ru', 'novk@yarus-market.ru', 'nsk@yarus-market.ru', 'omsk@yarus-market.ru', 'perm@yarus-market.ru', 'rnd@yarus-market.ru', 'ros@yarus-market.ru', 'ryazan@yarus-market.ru', 'samara@yarus-market.ru', 'saratov@yarus-market.ru', 'sevastopl@yarus-market.ru', 'simf@yarus-market.ru', 'sochi@yarus-market.ru', 'spb@yarus-market.ru', 'stavropol@yarus-market.ru', 'tomsk@yarus-market.ru', 'tula@yarus-market.ru', 'tumen@yarus-market.ru', 'ufa@yarus-market.ru', 'vld@yarus-market.ru', 'volgograd@yarus-market.ru', 'voroneg@yarus-market.ru']","['+73422580203', '+73432279826', '+73452568740', '+73472249245', '+73512149781', '+73652669137', '+73812790143', '+73822609813', '+73833495835', '+73842780069', '+73843328879', '+73852556684', '+73912347457', '+73952436571', '+74212292539', '+74232397354', '+74712349835', '+74722257248', '+74732106234', '+74742370213', '+74872770629', '+74912559921', '+74952492406', '+74986815820', '+74986829043', '+74986829136', '+78126798727', '+78314351601', '+78435280227', '+78442968754', '+78452694106', '+78462500740', '+78512442728', '+78619914835', '+78624440895', '+78632850932', '+78652257617', '+79780962231']",02-10-2025 16:11:34
3,производитель упаковки для камамбер,225,https://syromaniya.ru,"Размеры: диаметр - 12 см, высота бортика - 3,2 см. Производитель: Россия. Небольшая коробка для сыра камамбер традиционного размера. Подходит для головок с диаметром до 12 см. Изготовлена из бука, сшита скобой (без клея). Материал: бук. Размеры: диаметр - 12 см, высота бортика - 3,2 см. Производитель: Россия.",yandex,"['info@syromaniya.ru', 'moskva@syromaniya.ru', 'partner@syromaniya.ru']","['+73833754549', '+74993941987', '+78005503323']",02-10-2025 16:11:34
3,производитель упаковки для камамбер,225,https://cheasy.ru,,yandex,['info@cheasy.ru'],['+74951087955'],02-10-2025 16:11:34
3,производитель упаковки для камамбер,225,https://enterflex.ru,Бумага для сыра камамбер двухслойная перфорированная - купить с доставкой по РФ для упаковки и вызревания мягких сыров с белой плесенью. Упаковка 10 лист - поставка со склада и под заказ оптом.,yandex,['enterflex@mail.ru'],"['+74967637240', '+79776043598', '+79777213706', '+79779500509']",02-10-2025 16:11:34
3,производитель упаковки для камамбер,225,https://upakovkatorg.ru,"Применяется для упаковки, транспортировки и хранения сыра Камамбер. Изготавливается без клея, собирается с помощью скоб, имеет традиционный( классический) размер, который подходит для головок сыра D=11 см и высотой h=3 см. Сфера применения: Хранение, транспортировка, продажа сыра Камамбер.",yandex,['info@upakovkatorg.ru'],"['+73012379812', '+73022217827', '+73412271648', '+73422584460', '+73432279686', '+73452568574', '+73472249701', '+73512143690', '+73532387642', '+73812790472', '+73822609067', '+73833499281', '+73842780691', '+73843328882', '+73852556489', '+73912347044', '+73952436271', '+74112318812', '+74212358783', '+74232390689', '+74712349419', '+74722232685', '+74732602067', '+74742286796', '+74822452437', '+74832729897', '+74852208478', '+74872338249', '+74912202133', '+74956692241', '+74986815813', '+74986815850', '+74986815960', '+74986829150', '+77172696791', '+78126789764', '+78314351809', '+78332255609', '+78412458107', '+78422214188', '+78435280767', '+78442968845', '+78452694237', '+78462500329', '+78482379388', '+78512442899', '+78552253087', '+78619914716', '+78624440425', '+78632850835', '+78652257713', '+79787094775']",02-10-2025 16:11:34
3,производитель упаковки для камамбер,225,https://eda.ru,"Лошманов: Почему мы решили продегустировать камамберы — после того как мы ввели санкции на то, чтобы нам ввозили вкусный сыр, в России появилось множество его производителей.",yandex,['eda@afisha.ru'],"['+24742475', '+74957851700']",02-10-2025 16:11:34
3,производитель упаковки для камамбер,225,https://pro-syr.ru,Двухслойная бумага российского производства для камамбера и других сыров с плесенью размером 25х25 см в оптовой упаковке 500 листов. Варианты оптовых упаковок: листы 18 см х 18 см в пачке 500 штук; листы 21 см х 21 см в пачке 500 штук; листы 25 см х 25 см в пачке 500 штук – вы смотрите этот вариант сейчас.,yandex,['info@pro-syr.ru'],"['+74996775870', '+78003029350', '+79109700500']",02-10-2025 16:11:34
3,производитель упаковки для камамбер,225,https://all4cheese.ru,"Двухслойная бумага предназначена специально для упаковки мягких плесневелых сыров, таких как Бри, Камамбер, Валансе, Сен-Мор, Реблошон и т.д. Идеально подходит для козьих сыров. Обеспечивает правильное дозревание сыра и идеальную сохранность без потери внешнего вида и вкусовых качеств продукции от производителя до потребителя.",yandex,"['info@all4cheese.ru', 'support@all4cheese.ru', 'zakaz@all4cheese.ru']","['+79123456789', '+79995354565']",02-10-2025 16:11:34
3,производитель упаковки для камамбер,225,https://yes-upak.ru,"Ес упак предлагает упаковку для сыра: вакуумный пакет и термоусадочный пакет, флоу-пак, сыр в термоусадочном пакете под клипсой, трехшовный пакет для копченого сыра с еврослотом, плёнка для упаковки сыра любого сорта и форм фасовки. Минимальный тираж с печатью от 10 000 шт. Изготовим сырную упаковку на заказ нестандартных размеров и/или с вашим дизайном.",yandex,['info@yes-upak.ru'],"['+74951222025', '+78126799514', '+78314222594']",02-10-2025 16:11:34
3,производитель упаковки для камамбер,225,https://cheese-label.com,"Применяется для созревания и хранения мягких сыров с плесенью: бри, камамбер и др. Минеральный наполнитель.",yandex,['label@only-pak.ru'],['+74954143583'],02-10-2025 16:11:34
