user_id,query,region,domain,description,engine,emails,phones,dateOfSearch
3,производитель спецодежды,149,https://stetskevich.by,Спецодежда для защиты от влаги.,yandex,['info@stetskevich.by'],"['+375173756488', '+375447213989']",26-11-2025 19:08:14
3,производитель спецодежды,149,https://vostok.by,"Собственное производство спецодежды, продажа оптом для юридических лиц.",yandex,"['bobruysk@vostok.by', 'borisov@vostok.by', 'brest@vostok.by', 'gomel@vostok.by', 'grodno@vostok.by', 'lida@vostok.by', 'marketing@vostok.by', 'mogilev@vostok.by', 'novogrudok@vostok.by', 'pinsk@vostok.by', 'polotsk@vostok.by', 'td1@vostok.by', 'td2@vostok.by', 'td3@vostok.by', 'vitebsk@vostok.by', 'zayavka@vostok.by']","['+375152609434', '+375152680053', '+375154617975', '+375154617976', '+375159749977', '+375162298139', '+375162298536', '+375162298572', '+375165611100', '+375165611110', '+375172584238', '+375172918073', '+375173229061', '+375173230928', '+375173360801', '+375173360802', '+375173360803', '+375173360808', '+375173360809', '+375173360810', '+375173360812', '+375173360826', '+375173360835', '+375173423023', '+375177796791', '+375177797249', '+375212370001', '+375212370002', '+375214433565', '+375214433753', '+375222747482', '+375222794782', '+375222795219', '+375225721505', '+375232798250', '+375232798251', '+375232798252', '+375291371498', '+375293274664', '+375293596782', '+375293599297', '+375293608456', '+375293611107', '+375293612305', '+375293612921', '+375293787654', '+375293792065', '+375293934137', '+375293934514', '+375293979461', '+375293979480', '+375297023046', '+375297232446', '+375297234972', '+375336282763', '+375336282839', '+375336282851', '+375336282897', '+375336283098', '+375336283144', '+375336283175', '+375336283182', '+375336283197', '+375336283249', '+375445318839', '+375445436396', '+375447075747', '+375447124088', '+375447387724', '+375447455886', '+375447653646']",26-11-2025 19:08:14
3,производитель спецодежды,149,https://forintex.by,"Компания Форинтекс является производителем рабочей одежды, официальным дилером и первым поставщиком на территории Республики Беларусь, рабочей обуви, средств защиты работников (СИЗ) и ткани для спецодежды.",yandex,"['manager@forintex.by', 'sales@forintex.by', 'supply@forintex.by', 'textile@forintex.by']","['+375173668860', '+375292393007', '+375296863007']",26-11-2025 19:08:14
3,производитель спецодежды,149,https://bel7.by,"Заказав пошив спецодежды именно в нашей компании BELSEVEN, Вы получаете индивидуальный подход при создании необходимых моделей одежды, а так же профессиональную спецодежду и униформу наивысшего качества и прочности.",yandex,['info@belseven.by'],"['+375172518712', '+375291030718', '+375291030740', '+375291301924', '+375293917772', '+375447111779']",26-11-2025 19:08:14
3,производитель спецодежды,149,https://pravsiz.by,Один из ведущих производителей спецодежды в России.,yandex,"['pravsiz@tut.by', 'zakaz@pravsiz.by']","['+375173200476', '+375173754758', '+375291155053', '+375291645053', '+375291815053']",26-11-2025 19:08:14
3,производитель спецодежды,149,https://belspec.by,Надежный производитель спецодежды и тканей Мы работаем на рынке с 1991 г. и успели зарекомендовать себя как надёжный партнёр.,yandex,['mptf-belarus@rambler.ru'],"['+375164228748', '+375164249537', '+375293383471', '+375447509864']",26-11-2025 19:08:14
3,производитель спецодежды,149,https://renewear.by,"Спецодежда от производителя компании «Ренью Бренд» гарантирует высокое качество и надежность продукции, для максимальной защиты работников и эффективности производства.",yandex,"['3455ffeaa51d45e1814ac3e07c1ce079@prom-errors.evo.run', 'deal@rnw.by', 'support@deal.by']","['+375173889484', '+375291130204', '+375293041500', '+375294911911', '+73010730130']",26-11-2025 19:08:14
3,производитель спецодежды,149,https://oaotrud.by,баннер спецодежда.,yandex,['trud@oaotrud.by'],"['+375232344588', '+375232344781', '+375445880102']",26-11-2025 19:08:14
3,производитель спецодежды,149,https://bellon.by,"Производитель спецодежды и первый поставщик рабочей обуви, СИЗ и текстиля!",yandex,['bellon.minsk@gmail.com'],"['+375173360102', '+375173360205', '+375296297777']",26-11-2025 19:08:14
3,производитель спецодежды,149,https://aprobela.by,Апробела – передовое производство Европейского качества! Главная задача нашего производства – удовлетворение потребности заказчика в одежде высокого качества и разнообразного ассортимента.,yandex,['tafa@aprobela.by'],['+375296276001'],26-11-2025 19:08:14
